Gene	Average shortest path length to known risk genes	FDR p-value (Average shortest path length)	Average cosine similarity with known risk genes	FDR p-value (Average cosine similarity)
CHRNE	15.0	1.0	-0.061554894	1.0
PDZRN3	4.96969696969697	3.453316756337159e-61	0.12528366	1.0
BCL11B	4.666666666666667	5.436100284867346e-97	0.27429613	2.0820982970454888e-45
PARK7	4.2727272727272725	3.653471191512652e-151	0.24191521	2.7475545296715133e-17
SPAG1	4.4393939393939394	2.086267991521298e-127	0.28602234	1.6618813136686364e-58
VPS72	4.924242424242424	3.717947928122215e-66	0.14055716	1.0
PAXIP1	4.424242424242424	1.6016175437748486e-129	-0.21484521	1.0
KIF22	5.075757575757576	3.0673721766277474e-50	-0.13398299	1.0
CLP1	4.924242424242424	3.717947928122215e-66	-0.0053891153	1.0
TPM4	4.636363636363637	6.822339762337563e-101	0.17044374	1.0
WWP1	4.287878787878788	5.811180470231197e-149	-0.19943118	1.0
MFRP	7.5	1.0	0.116576545	1.0
CARD8	5.121212121212121	7.842657521703938e-46	-0.09625378	1.0
KIAA0226	4.757575757575758	1.2813048174903688e-85	0.250172	3.0178100089919543e-23
MAPK8IP3	3.893939393939394	2.672308029730401e-208	-0.059451763	1.0
HACL1	15.0	1.0	-0.09141967	1.0
TF	6.545454545454546	1.0	-0.19392648	1.0
LATS1	4.106060606060606	7.365278323712362e-176	0.5980673	0.0
DYNC1H1	3.787878787878788	8.678073467218118e-225	0.57872623	0.0
GNB4	7.954545454545454	1.0	-0.047881193	1.0
GFRA1	4.924242424242424	3.717947928122215e-66	-0.06157152	1.0
KCNH2	5.4393939393939394	2.973650604950998e-20	-0.18293202	1.0
BFSP2	5.696969696969697	4.17278972504703e-07	-0.028675208	1.0
LSR	4.363636363636363	4.4418567291027624e-138	-0.013672583	1.0
TIE1	4.651515151515151	6.187097844781667e-99	0.5962828	0.0
RPS6KA2	3.8181818181818183	4.652961405653735e-220	-0.1426859	1.0
XBP1	3.9696969696969697	1.2614138619558587e-196	0.27405137	3.772603403558449e-45
HCRTR2	15.0	1.0	0.113388345	1.0
C1R	8.757575757575758	1.0	-0.012491057	1.0
MCM5	5.303030303030303	5.000995631703424e-30	0.2811081	7.601765694787073e-53
ECD	4.2727272727272725	3.653471191512652e-151	-0.07163385	1.0
SIPA1	4.9393939393939394	1.7489259190183097e-64	-0.17705195	1.0
EPS15	4.03030303030303	2.4119262173128045e-187	-0.038998194	1.0
ENOX1	4.46969696969697	3.322043501688977e-123	0.44858047	1.19e-321
ACTR1B	4.090909090909091	3.809368010691429e-178	0.10278399	1.0
RFX1	6.545454545454546	1.0	0.14582452	1.0
KLC2	4.181818181818182	1.5761062911751013e-164	-0.102428764	1.0
THOC1	4.393939393939394	8.794930156881239e-134	0.4277167	2.319616765996912e-284
RPH3A	6.075757575757576	1.0	0.44841897	2.32e-321
RELL1	15.0	1.0	0.00951994	1.0
SALL2	5.090909090909091	9.42672456685099e-49	0.13335575	1.0
PPP1R9B	4.863636363636363	5.160066025918051e-73	-0.21687745	1.0
PDCD7	4.848484848484849	9.105895800645387e-75	-0.03676773	1.0
SCFD1	6.257575757575758	1.0	0.107478976	1.0
GRIN3B	5.287878787878788	3.1483437759882676e-31	-0.18091267	1.0
UPF1	5.9393939393939394	0.22883090852705568	0.45936677	0.0
CLK2	4.151515151515151	4.888626158200517e-169	0.0007665356	1.0
TRIM29	4.848484848484849	9.105895800645387e-75	0.27354896	1.2720286288830176e-44
DDX39B	6.121212121212121	1.0	-0.07094912	1.0
TTC3	5.075757575757576	3.0673721766277474e-50	-0.09752442	1.0
TCEA1	5.090909090909091	9.42672456685099e-49	0.053180844	1.0
AFP	6.151515151515151	1.0	0.31321758	8.689403899741292e-94
PUF60	4.46969696969697	3.322043501688977e-123	-0.16841349	1.0
